,,,,,,COMERCIAL DE TINTAS NORDESTE LTDA.,TINTAS NORDESTE LTDA,,deise@nordestetintas.com.br,(54)4009-2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FERRAGENS BIONDO LTDA.,FERRAGENS BIONDO ,,ferragensbiondo@terra.com.br,(54)3221-5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VANDERLEIA RIGOTTO ALVES,VANDEL ,,vandialvez@hotmail.com,(54)3224-1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,COLLEONY PROD SIST HIGIENIZ LTDA.,,,dayane@colleony.com.br,(54)3225-7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,COMABE LTDA,,,comabe@comabe.com.br,(54)2108-2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CEMIN MATERIAIS ELETRICOS LTDA.,CEMIN,,doctorpower.mat.eletrico@hotmail.com,(54)3228-3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VANDEL LIMPEZA CAIXAS D'AGUA LTDA.,,,vandialvez@hotmail.com,(54)3224-1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,QUATTRUM CORRET SEG LTDA,,,quattrum@pro.via-rs.com.br,(54)3222-1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TELECALCAGNOTTO EQUIP TELEF LTDA-MATERIAIS,TELECALCAGNOTTO,,telecal@telecalcagnotto.com.br,(54)3228-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DALSAT TELECOMUNICAÇÕES LTDA.,DALSAT TELECOMUNICAÇÕES LTDA.,,carlos@dalsat.com.br,(54)3227-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VIACONNECT SOLUÇÕES  INFORMAT LTDA,CDSA ,,diretoria@viaconnect.com.br,(54)3212-6074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANDREIA CANTON DE FREITAS  ,SUPRITEC,,supritech@supritech.inf.br,(54)3028-3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CONTEL CONTROLE ELETRONICO LTDA.,CONTEL,,douglas.silva@contel.ind.br,(54)3224-2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JANAIR DELIR KATZ,CAIO CHAVES,,janairgremista@hotmail.com,(54)3027-2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SUSTENTARE CORRETORA DE SEGUROS LTDA,SUSTENTARE SEGUROS,,caxias4@sustentareseguros.com.br,(54)3025-4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SERRAQUIMICA PROD QUIMICOS LTDA.,,,serraquimicavendas@serraquimica.com.br,(54)3213-5988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VENETO TRANSPORTES LTDA.,,,,(54)3224-2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,STV SEGUR E TRANSP VALORES LTDA.,STV SEGUR E TRANSP VALORES,,lissandra.mota@stv.com.br,(51)3358-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SAMUEL COMERCIO DE TINTAS LTDA. ,NORDESTE TINTAS,,samuel@nordestetintas.com.br,(54)4009-2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAXICRON MAQU ELETRONICAS LTDA. ,MAXICRON ,,maxicron.instal@gmail.com,(54)99979-5662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,XAVIER COM EQUIP P/ALIMENTAÇÃO LTDA. ,XAVIER EQUIP. P/ ALIMENTAÇÃO,,xavier@xavierequipamentos.com.br,(54)3228-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BIPI EXTINTORES LTDA,,,comercial.bipi@hotmail.com,(54)3212-2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAELI IND E COM DE SISTEMAS DE AR LTDA. ,,,maeli@maeliar.com.br,(54)3228-4481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PRESSIER RS INFORMATICA LTDA.,PRESSIER,,pressier@pressier.com.br,(54)3028-4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SOLUCIONE SERV PREDIAIS LTDA.,SOLUCIONE,,comercial@solucione.com.br,(54)3028-4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RECOLHERE TRANSPORTES LTDA ,,,recolhere@gmaill.com,(54)3219-3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BUFFON MOVEIS E DECORAÇÕES LTDA,BUFFON MOVEIS E DECORAÇÕES LTDA,,buffonmoveis@hotmail.com,(54)3211-1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ED COMERCIO DE PRODUTOS DE LIMPEZA LTDA,E D COM PROD LIMPEZA LTDA,,vendas@toplimprs.com.br,(54)3028-5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAXIAS MOTORES ELETR LTDA,CAXIAS MOTORES ELETR LTDA,,caxiasmotores@yahoo.com.br,(54)3223-5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PC CARGAS E TRANSPORTES LTDA,TRANSPAPÃO,,papaoentulhos@gmail.com,(54)3222-2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SPV DESENTUPIDORA LTDA,RODOSUL DESENTUPIDORA,,julian.vendas@outloock.com,(54)3025-4217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CALAN COM DE MÁQUINAS,CALAN COM DE MÁQUINAS,,calanmaquinas@terra.com.br,(54)3212-2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DALLAS  DECORAÇÕES PREDIAIS LTDA,PINTURAS DALLAS,,dallas@dallasdecoracoes.com.br,(54)3222-5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DOMINIO SISTEMAS LTDA,DOMINIO SISTEMAS LTDA,,,(48)3461-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JCC ANTENAS LTDA,JCC ANTENAS LTDA,,jcantenas2009@hotmail.com,(54)3224-4587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MARCXAND CORRETORA DE SEGUROS LTDA,MARCXAND ,,alexandre@marcxand.com.br,(51)3028-8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DOMINGOS ZAMPIERI,DOMINGOS ZAMPIERI,,,(54)99979-5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FERRAGENS BIONDO LTDA - CHAVES,FERRAGENS BIONDO LTDA - CHAVES,,ferragensbiondo@terra.com.br,(54)3221-5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,COM TATO COM DE PROD LIMP LTDA - DESCART,COM TATO LTDA,,financeiro2@comtato.etc.br,(54)3290-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,INETSOFT INFORMATICA LTDA,INETSOFT INFORMATICA LTDA,,,(51)3338-7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TELECALCAGNOTTO EQUIP TELEF LTDA - SERVIÇOS,TELECALCAGNOTTO,,telecal@telecalcagnotto.com.br,(54)3228-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FORMOLO MAT CONSTR LTDA -DIVERSOS,FORMOLO,,vendas@formolomateriais.com.br,(54)3212-2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AMEC EMPREITEIRA DE SERVIÇOS LTDA - MARCOS,AMEC SERVIÇOS,,amec.empreiteira@hotmail.com,(54)3222-7840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TRANSRESIND TRANSP RES IND LTDA,TRANSRESIND TRANSP RES IND LTDA,,marcio@transresind.com.br,(54)3025-2888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MARCOS J H GUEBERTO,AMEC,,amec.empreiteira@hotmail.com,(54)99977-7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MIGRA SERVICE SOL LIMP LTDA,MIGRA SERVICE SOL LIMP LTDA,,comercial02@migraservice.com.br,(54)3029-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EDUARDO CRUZ,CHAVES CAXIAS,,chaves.caxias@hotmail.com,(54)99979-1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PREVENFIRE SIST COMB INC LTDA,PREVENFIRE SIST COMB INC LTDA,,prevenfire@prevenfireextintores.com,(54)3212-2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PREVENFIRE SIST COMBATE INC LTDA,PREVENFIRE SIST COMBATE INC LTDA,,,(54)3212-2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EXTRATO ORG CONTAB LTDA,EXTRATO ORG CONTAB LTDA,,ilton@extrato.srv.br,(54)3222-2566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MATTER HIGIENIZAÇÃO LTDA-ME,MATTER HIGIENIZAÇÃO LTDA,,matter_@hotmail.com,(54)3028-8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CASSOL MONIT ALARMES LTDA,TOP SEGUR,,"comercial@topsegur.net, kelen@topsegur.net",(54)99155-6517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4FIX INSIDE EXPERIENCE LTDA,4 FIX,,,(54)3021-6114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GALIOTO MÍDIA  DIGITAL LTDA,GALIOTO MÍDIA  DIGITAL LTDA,,,(54)3225-1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NORDESTE TINTAS LTDA,NORDESTE TINTAS LTDA,,fabiana@nordestetintas.com.br,(54)4009-2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TEL BUSINESS SERV TELEF LTDA,GRAHAM BELL,,miguel@grambell.net,(54)3224-6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VOLNEI MASOTTI ME,VOLNEI MASOTTI,,volneimasotti@yahoo.com.br,(54)98111-8164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IPLAN -  ASSESSORIA E CONSULTORIA LTDA,IPLAN - INSTITUTO DE PLANEJAMENTO E ASSESSORIA DE ORGANIZAÇÕES LTDA,,candidoluis@iplancaxias.com.br,(54)3027-4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DARVAN DESIGN,DARVAN DESIGN,,darvan@terra.com.br,(54)99979-5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LUCIANO AGUSTINI 812034540-15,JARDINS 4 ESTAÇÕES,,jardins4estacoes@gmail.com,(54)3229-5804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,COLLEONY PRODUTOS E SISTEMAS PARA HIGIENIZAÇÃO LTDA,COLLEONY,,vendas5@colleony.com.br,(54)3225-7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ED COMERCIO DE PRODUTOS DE LIMPEZA LTDA,TOP LIMP,,atendimento@toplimprs.com.br,(54)3028-5223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ECOLIDER SISTEMA AMBIENTAL LTDA,ECOLIDER SISTEMA AMBIENTAL LTDA,,raquelb@desentupidoralider-rs.com.br,(54)3028-7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,J PAESE LIMP CONSERV LTDA,J PAESE LIMP CONSERV LTDA,,,(54)3027-5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JUCIMAR CEZÁRIO DIAS,JC INSTALAÇÕES ,,jucimardias@outlook.com,(54)99680-2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GPS MANUTENÇÃO DE MAQUINAS INDUSTRIAIS LTDA,GPS MAQUINAS,,gps@gpsmaquinas.ind.br,(54)3229-5794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAP. JULIANO AMARAL,CONSULTORIA EM SEGURANÇA,,julianoandre@brigadamilitar.rs.gov.br,(54)99183-9198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ANDRESA SOMENSI,ASB TREINAMENTOS,,comercial.bipi@hotmail.com,(54)99162-2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LHC INFORMAT LTDA,SANDRO HUNTER,,huntercx@gmail.com,(54)99923-6511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JOÃO ALBERTO COSTA,JOÃO ALBERTO COSTA,,,(54)99973-7075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAURICIO ANDRÉ ROSA ROXO,TOP LINE,,pacoroxo@terra.com.br,(54)99908-2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EZEQUIEL O TAVARES - PRESTO,PRESTO,,,(54)3041-1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ALDECIR MENDES ORLANDO,WIBRATTO EQUIPAMENTOS SEGURANÇA LTDA,,wibratto@yahoo.com.br,(54)99971-3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R A COM SIST ELETRÔNICOS LTDA,TOP SEGUR,,comercial@topsegur.net,(54)3025-1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JOÃO RICARDO DA SILVA MELO,JOÃO RICARDO DA SILVA MELO,,melojrs@terra.com.br,(54)99976-4527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CHAVES CAXIAS,EDUARDO CRUZ,,,(54)3225-3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CTTE SEGURANÇA PRIVADA LTDA,CTTE SEGURANÇA  PRIVADA LTDA,,volpatto@ctteseg.com.br,(51)3073-5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LISANDRO  FELIX GAZZOLLA,LISANDRO  FELIX GAZZOLLA,,,(54)99163-4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAULO HENRIQUE DOS SANTOS,PAULO HENRIQUE DOS SANTOS,,morsegoconstrusoes@gmail.com,(54)99969-3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CILON MOTTA SILVA,SECURITY PRIME SEG PATRIM,,cilon.prime@hotmail.com,(54)99913-8604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LIDERGLASS IND COM VIDROS EIRELI ME,VIDRO LÍDER,,vidrolider@vidrolider.com.br,(54)3223-7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,M1 ENGENHARIA LTDA - EPP,M1 ENGENHARIA ,,m1@m1engenharia.com.br,(54)3536-3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RODRIGO GADINI ,GADINI INSTALAÇÕES ELÉTRICAS,,rodrigo.gadini@hotmail.com,(54)99197-6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ENERGIE-SERV E EFICIENCIA ENERGETICA LTDA - EPP,ENERGIE,,energiesrv@gmail.com,(54)99124-3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VALDEREZ ANTÔNIO TRUBIAN PINTO,DECOR,,,(54)99191-0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,J. PAESE LIMPEZA E CONSERVAÇÃO LTDA ME,SERVICE SERVIÇOS ESPECIAIS,,contato@limpezaeconservacaocaxias.com.br,(54)98403-6341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAULO EDUARDO SIGNORE SALVADOR,CHAVES CRUZEIRO,,chavescruzeiro@gmail.com,(54)3212-9562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PROTEFORT EMPRESA DE VIGILANCIA E SEGURANÇA LTDA,PROTEFORT VIGILANCIA,,jorge_lunkes@protefort.com.br,(54)3215-4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LFG INSTALAÇÕES HIDRAUL LTDA-ME,LFG INSTALAÇÕES HIDRAULICAS LTDA-ME,,lfg@lfghidraulica.com.br,(54)3214-3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAULO R B ROXO,TOP LINE,,pacoroxo@terra.com.br,(54)3419-4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MS CAVALHEIRO PINTURAS LTDA,MS CAVALHEIRO PINTURAS LTDA,,pinturascavalheiro@yahoo.com.br,(54)99123-1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JOVENSIL DALPOZZO,BARUK AUTOMATIZAÇÃO DE PORTAS E PORTÕES,,baruk.portoes@bol.com.br,(54)98423-1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DLHT SERV E MANUT PRED LTDA,PRA QUE MARIDO,,artcaxias.com@gmail.com,(54)3534-7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CRISTALL GESTÃO DE SERVIÇOS LTDA - EPP,CRISTALL GESTÃO DE SERVIÇOS LTDA - EPP,,comercial@cristall.com.br,(54)3014-0949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CHEF LIMP S. M. DE LIMPAR LTDA,CHEF LIMP S.M. DE LIMPAR,,cheflimp@gmail.com,(54)99140-5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AJ IMPERMEABILIZAÇÃO LTDA,AJ IMPERMEABILIZAÇÃO LTDA,,ajimpermeabilizacoes@gmail.com,(54)3238-1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MARTA ADRIANA PAESE - ME,MASTER - CLEAN LIMP E CONSERVAÇÃO,,contato@masterclean.net.br,(54)3021-5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MAXICRON MÁQUINAS ELETRÔNICAS LTDA,MAXICRON ,,maxicron.instal@gmail.com,(54)99979-5662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VALMOR JAIR GIGOWSKI,CAMINHO DAS PEDRAS,,jardinagemcaminhodaspedras@hotmail.com,(54)3227-6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NOVO CONCEITO SERV DE LIMP LTDA ME,NOVO CONCEITO SERV DE LIMP LTDA ME,,novoconceitosrv@bol.com.br,(54)99177-0971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,C3 EQUIPAMENTOS PARA CONSTRUÇÃO CIVIL LTDA,C3 EQUIPAMENTOS / MAIS GARAGEM ,,gerenciacomercial@c3equipamentos.com.br,(54)3211-8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VIRCEU GONÇALVES DA ROSA,MASTER CLEAN,,masterclean20@gmail.com,(54)98414-4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MM PINTURAS LDTA - ME,M & M PINTURAS ,,claudemirmempinturas@yahoo.com.br,(54)98442-0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RODRIGO L CALCAGNOTTO,RODRIGO LUIZ CALCAGNOTTO,,rodrigocalcagnotto@gmail.com,(54)99117-3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JGV SERVIÇOS DE LIMPEZA E CUIDADOS,MARIA BRASILEIRA - UNIDADE CAXIAS DO SUL ,,caxias.jardimamerica@mariabrasileira.com.br,(54)3533-5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BELLUNO ASSESSORIA LTDA - ME,BELLUNO ENGENHARIA E ASSESSORIA LTDA - ME,,marcelo@belluno.eng.br,(54)3538-0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,STV SEGURANÇA E TRANSPORTE DE VALORES LTDA,STV SEGURANÇA,,rossano.marchiori@stv.com.br,(54)3022-2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HIGH INDUSTRIAL LTDA,HIGH INDUSTRIAL LTDA,,juliano@highindustrial.com.br,(54)3028-5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LUCAS C RODRIGUES,BELAR SERVIÇOS,,belarservicos@gmail.com,(54)99126-3638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FRANCISNEI REDEL DA MOTTA,IMPLEVIDROS,,vendas@implevidros.com.br,(54)99670-1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZURRA METALURGICA LTDA,AZURRA METALURGICA LTDA,,elmo@malbanet.com.br,(54)3067-3658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MDS SERVIÇOS,MAURO M SOUZA,,mdsservicos1@gmail.com,(54)99979-8959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,S. SCHEIN E CIA LDTA,LAVANDERIA LAV E LEV,,messaschein@lavlev.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BRIDI MANUTENÇÃO PLANEJADA LTDA,BRIDI MANUTENÇÃO PLANEJADA LTDA,,"rodrigo@bridiconstrucoes.com.br,  diego@bridiconstrucoes.com.br",(54)99196-0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ROBERTA FANTON,ROBERTA FANTON,,roberta@robertafanton.com.br,(54)3538-1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GBTEK TECNOLOGIA LTDA,GBTEK ,,comercial@gbtek.com.br,(54)99987-5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JORGE HENRIQUE DE SOUZA,JORGE HENRIQUE DE SOUZA,,jorgesouza345@yhahoo.com,(54)99117-2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GABRIELA GOMES DE QUADRO ME,SOARES MONTAGENS E MANUTENÇÕES INDUSTRIAL,,soaresmetalica@gmail.com,(54)98445-7961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DASUL VIDROS LTDA,DASUL VIDROS ,,dasulvidros@gmail.com,(54)3221-0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,UMANA BRASIL ASS. E  CONSULTORIA DE RH LTDA,UMANA BRASIL ,,jocelito.silva@umanabrasil.com,(54)98109-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LGA SOL EM REGULAR DE EDIFICAÇÕES LTDA,LGA SOLUÇÕES ,,lgaengenharia@lgaengenharia.com.br,(54)98153-8608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,FERNANDO M ROSSINI,IA SERVICE,,fernando.rossini@iaservice.eng.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PROSEGUR SISTEMAS DE SEGURANÇA LTDA,PROSEGUR SISTEMAS DE SEGURANÇA LTDA,,ana.dorneles@prosegur.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PROSEGUR BRASIL S/A ,PROSEGUR BRASIL S/A ,,ana.dorneles@prosegur.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GILBERTO ZAMIN,PER LIMPARE,,perlimpare@gmail.com,(54)99947-8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
